"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Congo, Dem. Rep.","COD","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2100000","1900000","1900000","2600000","34300000","0","0","0","20300000","10736427.231","0","0","0","0","0","",
"Congo, Rep.","COG","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","3762174.13396062","","","","",
"Colombia","COL","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","7999999.99996948","6999999.99996948","9999999.99993896","1002979.99998856","6514260","8344909.99996948","8418479.99990845","4856600","8081639.99996948","7005119.99993896","5007999.99996948","0","11000000","11000000","11000000","12000000","10000000","7000000","7000000","10000000","10000000","12000000","13000000","19000000","17400000","18600000","19568950","28944760","60648380","60221550","61699170","69127270","73802760","77225080","86300600","75542410","82270270","118088950","126779460","187900030","263035815.4","298569416.042286","362407787.351034","424664387.373199","526909688.697019","560551643.2865","525973319.696666","471320169.0425","438586639.07","420367278.68","594252201.167676","723175264.05747","",
"Comoros","COM","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","0","0","0","0","0","0","0","0","0","0","","311737.481862875","775837.434484411","639722.208774016","423791.183732321","465764.032820041","458812.530490904","",
"Cabo Verde","CPV","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","113544.319196788","401844.547430398","116141.117702154","49244.6061233018","120660.275876512","41311.7049830786","104384.773055007","212616.230958107","59713.6431631542","94986.1207494796","26273.9007742527","79740.9938110399","335135.37467079","196520.808134198","","136219.305590173","193783.686625706","47776.3957749773","256892.693766325","68001.4652544551","2245.90089505598","1289652.37749628","34422.2473605826","0","343346.435249857","0","73921.9712525667","110127.256981221","4795783.85015689","8051787.06017175","2401054.9454878","5757382.6909683","11338112.5946208","10027653.9181556","",
"Costa Rica","CRI","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","4200000","4500000","5700000","4300000","4100000","2900000","3600000","9100000","9600000","7900000","8600000","7600000","10000000","9100000","11000000","9200000","5500000","11000000","13400000","23570000","27190000","31970000","30796000","49833730","49021813.4808482","51154010","63871136","51358969","56875640","87482020","52944749.8751368","86390876.0996513","119400565.105096","158855730.106399","214778111.977896","310560930.38155","374402372.589322","454698564.824728","495827687.753367","503368674.564575","538240000","565152000","593409600","",
"Caribbean small states","CSS","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","0","0","0","0","0","0","0","584444.737167434","2448219.32059652","8125670.61948866","8749166.66835069","10971500.0014063","15247000.0020312","11591666.6689757","16208333.3357118","21675000.0035938","20191666.6711632","22050000","25567346.9387755","22525925.9259259","33094444.4444444","24003252.0325203","27555664.4880174","21694880.1742919","25548148.1481481","24811437.9084968","19530512.0390344","31576303.5453932","41543699.7371705","65584932.1071937","62887466.4051942","77773071.3237908","95346834.2037037","96575751.5705556","87461323.8488889","96757441.2919513","73326422.7420397","77531998.9328549","72339941.4320071","92922873.4348142","139842022.993326","137094955.09878","136343459.408544","112457442.812752","189561816.589682","207362528.910082","244522015.973826","223844636.411694","229673951.316419","209029690.000439","172167392.925761","180966505.054971","121159166.907228","",
"Cuba","CUB","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25569832.4022346","22229050.2793296","29363128.4916201","29184357.5418994","26212290.5027933","28167597.7653631","27905027.9329609","26670391.0614525","25515452.2513966","",
"Cayman Islands","CYM","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81139539.0900272","68007595.0549266","74328319.8631001","74938827.4920159","",
"Cyprus","CYP","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","0","0","0","282132.123507776","283244.645950709","237286.903855858","210355.420506785","189882.75400638","169956.497568155","163251.362146949","","2702160.11719061","3000243.23400504","3436947.76125815","4366050.39258979","1507228.77687308","7340697.14007552","8041733.91845882","9955484.76099726","12156840.9306835","16727025.1361081","14788946.1708305","18152830.4173204","21364855.0896472","20725917.4947282","20199182.8758922","14987397.9796391","38640483.76043","53379644.4699255","44655062.1345255","60437219.9769149","55607286.9203494","70969541.6351864","","","","127245097.473785","","","","","232194731.550915","","","",
